ID,Gender,10percentage,12graduation,12percentage,CollegeID,CollegeTier,collegeGPA,CollegeCityID,CollegeCityTier,GraduationYear,Logical,Quant,Domain,agreeableness,openess_to_experience,Salary
964017,m,78,2010,87.1,1428,2,65,1428,1,2014,570,615,0.744758354,-1.1196,0.6721,140000
1066577,m,89.5,2010,73.4,1906,2,70.06,1906,1,2014,505,585,0.486747008,0.0459,-1.244,320000
87319,m,56.4,2006,72,403,2,64,403,0,2010,395,455,0.654107475,-0.9033,0.3444,1210000
962441,m,88.67,2009,87.69,436,1,79.65,436,0,2014,645,735,0.879915203,1.5444,0.6721,700000
335296,m,58.33,2007,73.33,198,2,71.97,198,0,2012,325,585,0.744758354,0.5008,0.6603,120000
833277,m,64,2009,66,382,2,69.2,382,0,2014,390,355,0.356536488,-0.2871,0.0973,200000
239756,m,85.92,2007,79.87,1866,2,71.07,1866,1,2011,565,454,0.968237496,-0.1232,0.9763,315000
555652,m,88.8,2009,84.67,1866,2,70,1866,1,2013,605,620,0.985461394,1.0449,1.0554,305000
543832,m,73.8,2008,75.4,55,2,68.56,55,0,2013,485,680,0.376059587,0.0328,-0.4455,335000
244546,m,71,2007,58,3427,2,70.1,3427,0,2011,465,645,0.538386893,0.8128,0.0284,410000
610635,f,81.4,2008,74,7700,1,76.24,7700,1,2013,525,620,0.953899775,0.5454,1.247,200000
1076441,m,88.1,2009,91.1,15854,2,68.2,15854,1,2013,435,500,0.20739217,0.8784,0.6721,315000
754392,m,76,2009,72,8888,2,63.2,8888,0,2013,355,340,0.123016732,-0.2871,-0.4776,120000
330813,f,82.3,2007,96.6,9557,2,83,9557,1,2012,565,615,0.694479328,1.1248,0.8973,310000
1072316,m,78,2009,68,1388,1,72.3,1388,0,2013,590,510,0.783303537,-0.4536,0.0973,375000
1242113,m,66.7,2009,54.2,6545,2,66.93,6545,0,2014,470,500,0.299597296,0.3789,0.4805,240000
1084099,m,72,2008,60,8946,2,63,8946,1,2013,300,285,-1,0.8784,0.4805,295000
435378,m,82,2008,62.3,11982,2,61,11982,0,2012,475,464,0.068445751,-1.2153,-1.8278,360000
108999,f,58.56,2006,73,1279,2,61.8,1279,0,2010,465,565,0.376059587,0.6568,0.5024,260000
982410,m,58,2009,62,184,2,70.68,184,0,2014,395,390,0.486747008,-0.1206,0.0973,180000
1251678,m,77,2007,78,6884,2,75.03,6884,0,2013,545,665,0.842248322,-0.6201,0.6721,100000
920550,f,75.6,2010,83.2,55,2,71.1,55,0,2014,460,530,0.744758354,1.5444,1.247,160000
134985,m,75,2002,61.7,1424,2,79,1424,0,2010,365,425,0.377551419,-0.1232,-0.1295,310000
1062180,m,74,2009,66.8,13801,2,68.9,13801,0,2013,505,510,0.338786347,-2.2851,-2.5853,80000
1219078,m,92.2,2009,75.6,11154,2,81.5,11154,1,2014,565,645,0.953899775,1.2114,0.2889,325000
333542,f,84.5,2008,94.1,11168,2,70.95,11168,1,2012,445,575,0.413838256,0.1888,0.0284,400000
619605,m,89.4,2009,75.6,275,2,82.53,275,1,2013,610,635,0.840840969,0.0459,0.4805,475000
921298,m,76.2,2010,88,1577,2,69.8,1577,0,2014,510,620,0.744758354,-0.1206,1.6302,180000
343541,f,85.33,2008,78.2,11368,2,77.25,11368,0,2012,404,454,0.824666401,1.5928,0.1864,250000
1284293,m,72,2010,64,17782,2,72,17782,0,2015,410,485,0.450876584,0.3789,-0.4776,150000
53838,m,45.6,2007,73.6,1268,2,85.2,1268,0,2010,385,454,0.765673581,0.3448,-0.9194,100000
1261333,m,86.5,2010,82.5,473,2,61.86,473,1,2014,395,485,0.911395278,-0.6201,-1.8189,300000
52923,m,75.83,2006,68.83,472,2,55.6,472,1,2010,575,655,0.901489571,1.2808,0.3444,465000
332800,m,69.4,2007,63,7600,2,61,7600,0,2013,465,265,0.023312168,0.1888,-0.7615,200000
1190691,m,64,2010,61,18409,2,63,18409,0,2014,505,465,0.884122512,-1.2861,-0.4776,360000
196482,m,85,2006,73.8,115,2,77,115,0,2011,485,615,0.824666401,-1.0593,1.1343,400000
110863,m,85.6,2006,90.6,964,2,68.4,964,1,2010,425,575,0.229481755,0.5008,-0.2875,720000
79007,m,80.6,2005,91,137,2,73.06,137,0,2010,505,375,0.635978756,1.7488,0.9763,505000
263901,f,78,2007,68,2513,2,68,2513,0,2011,515,645,0.979521744,0.5008,-0.1295,380000
552730,f,69,2009,72.2,7542,2,69.78,7542,1,2013,500,455,0.704090412,0.2124,0.6721,375000
111273,m,89.56,2006,85,992,2,67.45,992,1,2010,315,545,0.694479328,-1.0593,0.1864,290000
604198,m,83.2,2008,72.3,28,2,68,28,1,2013,620,515,0.960903087,1.0449,-0.0943,350000
30122,m,51,2004,48,350,2,59,350,0,2010,365,395,0.525922584,-0.2793,0.0284,100000
920332,m,60.7,2008,65.66,55,2,77.7,55,0,2014,535,470,-1,1.0449,0.4805,230000
282000,m,76,2006,75,4450,2,65.48,4450,0,2011,535,575,0.600057182,-0.1232,0.3444,315000
1083018,m,91,2010,91.2,2921,2,86,2921,0,2014,655,585,0.783303537,0.8784,-1.0524,615000
1069526,m,90.6,2009,79.3,5752,2,65.7,5752,1,2013,350,475,0.622642916,1.2114,1.247,200000
810018,m,63,2010,,350,2,62.44,350,0,2014,510,515,0.635978756,-1.2861,-1.4356,180000
1262987,m,63,2010,63,15807,2,63,15807,1,2014,435,390,0.032937018,-0.2871,-0.2859,260000
53921,m,75.4,2004,68.2,83,2,80,83,0,2010,535,655,0.916869961,1.1248,1.1343,1110000
281866,m,81.8,2006,71.8,4450,2,64.5,4450,0,2011,525,625,0.824666401,-0.2793,-0.1295,170000
1098849,m,75.85,2009,77.2,992,2,80,992,1,2013,530,520,0.979521744,0.8784,1.0554,180000
827639,m,91.6,2010,85.6,47,1,72.7,47,1,2014,575,635,0.649389715,0.5454,0.8637,340000
133296,m,66,2006,55,4948,2,66,4948,1,2010,585,415,0.600057182,0.5008,1.4502,145000
878844,m,50,2010,,9738,2,65.06,9738,0,2014,425,425,0.744758354,-0.6504,-0.4392,120000
295362,f,89.2,2007,86.25,1034,2,76,1034,0,2011,595,575,0.376059587,0.9688,0.1864,180000
811394,m,93.8,2009,76,47,1,72.5,47,1,2014,415,680,0.338786347,1.5444,0.0973,325000
879261,m,76.66,2004,64.33,3496,2,72.02,3496,0,2012,525,430,0.328746379,0.5454,-0.8608,95000
530147,m,90.4,2009,84.6,11759,2,83.5,11759,0,2013,375,530,0.986525019,-1.9953,-2.0253,205000
815714,f,90.8,2009,82.6,5717,2,64.66,5717,0,2013,535,590,0.911395278,1.2114,1.6302,280000
1290109,m,82.67,2008,74.92,12737,2,61.36,12737,1,2014,470,425,0.911395278,1.0449,0.6721,215000
729532,m,94.16,2009,95.5,11000,2,83.62,11000,1,2013,475,575,0.538386893,1.2114,1.0554,200000
1058583,m,74.6,2007,81.6,3720,2,67.8,3720,0,2011,425,415,0.356536488,0.2124,0.2889,350000
390616,m,61.73,2008,60,7495,2,63.33,7495,0,2012,395,385,0.308400583,-0.4353,-0.9194,190000
283428,m,78,2007,63,374,2,68.1,374,0,2011,535,464,0.765673581,0.8128,1.6082,520000
64844,m,74,2005,64,1109,2,53,1109,1,2010,455,405,0.538386893,-0.4353,0.5024,335000
359993,m,72,2007,60,1245,2,64,1245,1,2012,375,315,0.3423149,-1.3713,-2.6572,220000
82837,m,85.6,2006,79.4,580,1,67.23,580,0,2011,525,565,0.538386893,-1.9953,-1.2354,450000
239715,m,89.4,2006,68,1866,2,68.3,1866,1,2011,525,525,0.694479328,0.3448,0.5024,445000
831320,m,87.7,2010,95.2,9748,2,69.96,9748,1,2014,555,445,0.744758354,-0.4536,-0.6692,200000
601131,m,88,2008,78,272,2,87.9,272,0,2013,605,575,0.824666401,-2.1186,-1.6273,420000
1199988,m,80.8,2010,81.5,12867,2,74,12867,0,2014,455,405,0.23780284,1.0449,0.8637,100000
324330,m,77.6,2008,59,993,2,58.66,993,1,2012,585,334,0.308400583,0.9688,-1.2354,120000
1112865,m,87,2010,79,14697,2,70,14697,0,2014,540,535,0.756180114,-4.2831,-5.0763,315000
305041,f,89.8,2007,83.8,5232,2,70,5232,0,2011,455,525,0.843123727,0.1888,1.6082,480000
1062173,m,80,2009,89,4557,2,62,4557,1,2013,530,405,0.356536488,0.3789,-1.244,145000
327623,m,84,2008,83,7542,2,74.5,7542,1,2012,465,555,0.600057182,0.7348,-0.4455,450000
360992,f,91,2008,80,2342,2,76,2342,1,2012,475,415,0.538386893,-0.1232,0.5419,235000
1044759,m,89.6,2010,83.8,13128,2,76.4,13128,1,2014,565,595,0.338786347,0.2124,1.0554,330000
454921,m,82,2008,60,272,2,80,272,0,2012,525,475,0.735795709,0.3448,-0.7615,320000
283164,m,70,2006,73.8,4234,2,70.13,4234,0,2011,505,485,0.884122512,0.8128,0.5024,715000
1238094,m,59.57,2007,55,272,2,88,272,0,2015,540,535,0.992259189,-0.4536,-0.0943,145000
702081,m,83,2008,81,2027,2,79.2,2027,0,2012,655,705,0.837620726,0.3789,-0.2859,180000
470741,f,67.8,2008,65.2,12184,2,72.18,12184,0,2012,305,405,0.24545566,0.0328,0.7788,180000
1088859,m,82.4,2010,81.2,8159,2,69,8159,0,2014,470,585,0.622642916,1.0449,-1.6273,75000
431891,f,79,2008,74.6,5232,2,71.2,5232,0,2012,435,505,0.488347977,-1.0593,-2.3412,280000
272323,f,81.2,2007,82.8,11537,2,73,11537,0,2011,625,585,0.635978756,1.1248,0.6603,390000
1008832,m,73.5,2009,71,6518,2,71,6518,0,2013,545,500,0.8295846,0.8784,0.6721,325000
852303,m,90.6,2009,94.3,11490,2,84,11490,0,2013,460,620,0.493596387,0.5454,0.6721,300000
794755,f,91.6,2010,90.2,13439,2,74,13439,0,2014,610,680,0.978799293,0.8784,0.6721,450000
535627,m,86,2010,83.8,12290,2,77,12290,0,2014,605,560,0.486747008,1.4368,0.3444,505000
612621,m,73,2009,79,12755,2,75,12755,0,2013,315,430,0.538386893,-1.9521,-1.4356,240000
797585,m,65,2007,50,7000,2,73.14,7000,1,2013,495,430,0.793580615,-0.6201,-0.4776,240000
294861,m,86,2006,82,431,2,71,431,0,2010,505,505,0.600057182,-0.1232,-0.6035,200000
919485,m,86,2010,74.44,7376,2,73.38,7376,0,2014,575,650,0.486747008,-0.4536,-0.0943,450000
328471,m,91.6,2008,85.8,55,2,77.7,55,0,2012,575,685,0.376059587,1.5928,0.1864,335000
319780,f,89,2006,78,6038,2,73.14,6038,0,2011,485,544,0.884122512,0.5008,0.3444,310000
190589,f,87.4,2005,83,4441,1,71,4441,0,2011,485,544,-1,0.5008,0.6603,450000
31330,m,78,2004,83,2,1,72.13,2,1,2010,555,695,0.999904558,0.3448,0.0284,600000
945679,m,93.33,2009,76.66,8440,1,72,8440,0,2014,570,750,-1,0.3789,0.6721,335000
743559,m,75,2008,77,708,2,70.45,708,0,2013,595,545,0.112139438,1.2114,0.8637,150000
795018,m,71.3,2008,63.8,222,2,79.6,222,0,2014,475,370,0.622642916,-0.2871,-1.244,180000
1288243,m,81,2012,73,23,2,61.6,23,0,2014,570,495,0.356536488,0.8784,0.6721,360000
662316,m,55,2009,68,10881,2,74.9,10881,1,2013,560,545,0.793580615,0.3789,-1.0524,180000
553393,f,83.4,2008,88.2,13210,2,72.3,13210,0,2013,450,445,0.124502074,0.3789,-0.0943,180000
928178,m,64.8,2009,69.4,7736,2,73.8,7736,0,2013,475,385,0.356536488,0.8784,0.2889,240000
1044834,m,83.5,2010,87.2,7542,2,79.95,7542,1,2014,615,510,0.953899775,1.0449,-1.0524,350000
47016,m,82.27,2006,80.58,434,2,61,434,1,2010,465,575,0.124502074,-0.7473,0.0284,400000
1255815,m,71.1,2011,64.5,14169,2,60.05,14169,0,2015,340,390,0.328746379,-0.6201,-1.244,150000
1293567,m,91.4,2010,81.2,11848,1,73,11848,0,2015,640,740,0.998876108,0.8993,0.1275,150000
449905,f,78,2008,79.4,4450,2,76.76,4450,0,2012,575,625,0.864685413,0.7348,-0.9194,455000
1037712,m,77,2009,69,4979,2,84.1,4979,0,2013,590,655,-1,0.7119,0.6721,240000
258837,m,80,2005,75,11444,2,71.56,11444,0,2011,495,445,0.376059587,0.3448,0.0284,350000
336787,f,89,2008,94.16,3076,2,89.2,3076,0,2012,515,655,0.930370607,1.3198,-0.2875,385000
509967,m,87.33,2008,82.46,11444,2,73.83,11444,0,2012,610,650,0.995613797,0.8128,0.6603,440000
798860,m,73.94,2009,79.16,9361,2,86,9361,0,2013,460,680,0.974396113,-0.4536,-0.4776,380000
334430,m,79.8,2007,81,1622,2,76.03,1622,0,2012,535,605,0.694479328,0.1498,-0.7615,420000
331226,f,92,2008,94.8,9769,2,77.33,9769,1,2012,525,505,0.960603252,0.9688,-0.7615,360000
794736,m,76,2009,78,8346,2,70.6,8346,0,2014,570,665,0.661834476,-0.7866,-0.4776,320000
325423,m,78.93,2008,65,7172,2,67.63,7172,0,2012,535,455,0.600057182,1.5538,0.3444,355000
823924,m,80.6,2009,74.6,17205,2,57.5,17205,0,2014,440,445,0.356536488,0.2124,-0.6692,180000
244806,m,83.2,2007,77.33,2634,2,75.67,2634,1,2011,415,485,0.376059587,0.1888,-0.6035,490000
206788,m,52.7,2005,45.6,144,2,69.7,144,0,2011,385,345,0.600057182,-1.5273,-0.4455,300000
803778,m,69.5,2008,68.5,7770,2,69.9,7770,0,2013,500,235,0.413838256,1.0449,1.0554,2000000
1125281,m,85,2009,85.6,8819,2,80,8819,1,2015,510,485,0.622642916,0.0459,1.0554,120000
133803,f,67.25,2009,63.4,2066,2,69.97,2066,1,2010,565,565,0.694479328,1.2808,1.4502,240000
1244355,m,88.2,2010,80.8,15866,2,70,15866,0,2014,595,545,0.999910408,1.0449,0.2889,325000
1204764,m,76.2,2010,63.8,2783,2,66,2783,0,2014,455,465,0.144789889,0.3789,0.0973,100000
1187199,m,67.2,2007,58.6,3879,2,66.6,3879,0,2012,565,620,0.842248322,0.5454,-0.2859,180000
1083692,m,76,2011,66.66,12374,2,65,12374,0,2015,400,475,0.125690182,-0.7866,-2.2021,250000
1045625,m,89.5,2010,78.83,8440,1,73,8440,0,2014,485,605,0.863724178,0.2124,-0.2859,300000
662630,m,56,2009,63,9072,2,65,9072,0,2013,495,405,0.279258512,-0.9531,-1.0524,220000
768298,m,90.2,2011,84.8,229,1,66.23,229,1,2015,670,680,0.842248322,1.2114,0.4805,1500000
212018,f,75.6,2006,77,5690,2,70.66,5690,0,2011,404,524,0.535862819,1.7488,0.6603,275000
997622,m,83.68,2010,84.5,904,2,72.3,904,1,2014,605,570,0.622642916,-1.7856,-2.5853,500000
627921,m,79.8,2008,75.6,5238,2,61.9,5238,0,2012,620,620,0.376059587,1.0449,0.2889,510000
856638,m,84.4,2009,76,226,2,63,226,1,2013,595,545,0.977066467,0.2124,-0.0943,185000
514622,m,72,2007,72,6271,2,70.5,6271,0,2012,570,530,0.81941653,0.6178,0.1864,490000
818479,m,85.8,2010,83,11898,1,91,11898,0,2014,545,590,0.649389715,0.5454,-0.6692,300000
530225,m,73,2009,77,11759,2,79.67,11759,0,2013,585,515,0.229481755,0.8128,0.1864,410000
390024,m,73,2008,57.8,10342,2,58,10342,1,2012,435,495,0.276047228,0.0328,-1.0774,225000
1297757,m,83.04,2006,72.6,708,2,64.95,708,0,2013,375,375,0.279258512,0.8784,0.6721,100000
336591,f,83,2008,66,3427,2,78,3427,0,2012,515,495,0.714529363,0.2668,-0.9194,330000
1060355,m,87,2010,81,12984,2,72,12984,0,2014,495,525,0.053160305,-0.1206,-1.6273,300000
1288236,m,85,2010,82,110,2,70.6,110,0,2014,655,665,-1,0.8784,-0.4776,325000
837194,m,79.2,2009,76.6,2952,2,67.6,2952,1,2013,580,635,0.976292561,0.2124,-0.8608,310000
593198,m,74,2009,81,12210,2,67.1,12210,1,2013,555,530,-1,0.2124,-0.0943,120000
817070,m,77.86,2006,64.33,4795,2,70,4795,0,2013,555,590,0.990008757,-1.1196,-0.0943,525000
1072592,m,81.66,2009,58.55,2318,2,55.9,2318,1,2013,680,560,0.486747008,0.8784,1.0554,230000
872267,m,82.6,2009,76,6904,2,78,6904,1,2014,560,485,0.837620726,-0.7866,-1.4356,300000
1183033,f,89,2010,90.6,5338,2,70.4,5338,0,2014,505,630,0.622642916,-0.2871,0.6721,305000
894646,m,85,2010,76.7,14820,2,67.66,14820,0,2014,350,325,0.45901584,0.0459,1.6302,205000
140069,f,91.2,2006,84.63,4437,2,78.15,4437,0,2010,535,445,0.635978756,0.9688,0.3444,320000
207052,m,83.4,2006,77.4,49,1,70,49,0,2011,675,725,0.910770164,0.6568,0.3444,510000
1087164,f,79,2010,72.5,1228,2,66.43,1228,1,2014,360,370,0.298769129,1.0449,1.4386,205000
1077918,m,62.4,2006,67.17,2665,2,60.14,2665,0,2013,615,465,0.88162007,-0.2871,0.0973,140000
633445,m,81.2,2009,76.4,11630,2,72.3,11630,0,2013,605,665,0.755375121,0.7119,1.247,360000
227704,f,90.6,2007,92.3,2818,2,78.07,2818,1,2011,545,605,0.0587928,0.6568,0.9763,375000
224906,m,55,2004,43,215,2,62,215,1,2011,415,285,0.24545566,0.4488,0.1187,180000
844474,m,69,2009,69,168,2,66,168,0,2013,305,430,0.864685413,0.2124,0.6721,195000
430002,m,73,2008,74,1227,2,69.2,1227,1,2012,635,455,0.793580615,-0.4353,-0.643,310000
965223,m,72.4,2010,72.8,9062,2,71.77,9062,1,2014,375,510,0.20739217,0.8784,0.0973,325000
813473,f,78.33,2008,67.6,15866,2,65.72,15866,0,2012,655,605,0.488347977,1.3779,1.6302,275000
78936,m,68,2006,59.2,137,2,65,137,0,2010,455,495,0.376059587,-1.6833,0.0284,375000
280505,f,86.6,2007,92,9775,2,77.96,9775,1,2011,555,425,0.793580615,0.8128,0.1864,515000
276354,f,81,2007,77,10599,2,82.9,10599,0,2011,505,525,0.563267824,-0.5913,0.0284,380000
327206,m,61.6,2006,57.83,6196,2,49.07,6196,0,2013,425,555,0.635978756,-0.2793,-0.1295,350000
1192794,f,85.83,2010,86,11554,2,86,11554,0,2014,480,295,0.144789889,-1.2861,-1.244,265000
624680,f,83,2009,85,6996,2,70,6996,1,2013,410,370,0.338786347,-3.9501,-5.6512,325000
538185,m,84.3,2009,86.5,6196,2,68.87,6196,0,2013,580,560,0.229481755,0.6568,0.4234,380000
898205,m,69.66,2009,69.6,66,2,71.7,66,0,2014,460,575,0.667326452,-1.2861,-1.244,340000
306449,m,79.78,2007,64,1281,2,56.43,1281,1,2011,655,625,0.824666401,0.8128,-0.4455,280000
553697,m,90.4,2009,80.4,48,1,74,48,1,2013,555,705,0.635978756,0.5454,-1.0524,410000
1202633,m,84,2009,88,11024,2,72.5,11024,1,2013,565,545,0.423951396,0.3789,0.8637,300000
319644,f,93,2008,97,11511,2,80.5,11511,0,2012,655,735,0.538386893,1.1248,-1.2354,395000
212917,m,91.86,2007,94.5,4968,2,69.06,4968,1,2011,404,505,0.824666401,-1.0593,0.3444,90000
313765,m,79.66,2006,87,5069,2,74.1,5069,0,2010,475,505,0.304510914,-0.6693,-0.1295,300000
128849,m,87,2005,92,1428,2,63.96,1428,1,2009,605,525,0.298769129,-0.2871,-1.8189,160000
425362,f,65,2008,58,75,2,70,75,0,2012,464,425,0.704090412,0.6178,-0.4455,145000
1248085,m,70.2,2009,61.8,17633,2,69,17633,0,2014,370,485,0.622642916,-0.1206,0.2889,150000
1048691,m,73,2010,62,78,2,75,78,0,2014,545,535,0.953899775,-1.2861,-0.8608,145000
